==========
Args:Namespace(arch='resnet50', cuhk03_classic_split=False, cuhk03_labeled=False, dataset='market1501', eval_step=-1, evaluate=False, gamma=0.1, gpu_devices='0', height=256, lr=0.0003, lr_cent=0.5, max_epoch=60, print_freq=2, resume='', root='data', save_dir='log', seed=1, split_id=0, start_epoch=0, start_eval=0, stepsize=20, test_batch=32, train_batch=32, use_cpu=False, use_metric_cuhk03=False, weight_cent=0.0005, weight_decay=0.0005, width=128, workers=4)
==========
Currently using CPU (GPU is highly recommended)
=> Market1501 loaded
Dataset statistics:
  ------------------------------
  subset   | # ids | # images
  ------------------------------
  train    |   751 |    12936
  query    |   750 |     3368
  gallery  |   751 |    19732
  ------------------------------
  total    |  1501 |    36036
  ------------------------------
Initializing model: resnet50
Model size: 25.04683M
start training
==> Start training
Epoch: [1][92/404]	Bacth_Time 20.549 (18.574)	Data 0.003 (0.062)	Loss 6.3560 (6.6665)	
Epoch: [1][94/404]	Bacth_Time 20.474 (18.590)	Data 0.003 (0.061)	Loss 6.8848 (6.6650)	
Epoch: [1][96/404]	Bacth_Time 19.521 (18.619)	Data 0.004 (0.060)	Loss 6.4317 (6.6603)	
Epoch: [1][98/404]	Bacth_Time 23.334 (18.699)	Data 0.004 (0.059)	Loss 6.4755 (6.6572)	
Epoch: [1][100/404]	Bacth_Time 20.901 (18.709)	Data 0.004 (0.057)	Loss 6.2090 (6.6503)	
Epoch: [1][102/404]	Bacth_Time 20.516 (18.740)	Data 0.004 (0.056)	Loss 6.4921 (6.6454)	
Epoch: [1][104/404]	Bacth_Time 21.317 (18.769)	Data 0.004 (0.055)	Loss 6.6025 (6.6423)	
Epoch: [1][106/404]	Bacth_Time 19.670 (18.800)	Data 0.004 (0.054)	Loss 6.3966 (6.6370)	
Epoch: [1][108/404]	Bacth_Time 24.042 (18.903)	Data 0.006 (0.054)	Loss 6.5543 (6.6369)	
Epoch: [1][110/404]	Bacth_Time 21.448 (18.993)	Data 0.004 (0.053)	Loss 6.1154 (6.6300)	
Epoch: [1][112/404]	Bacth_Time 17.752 (19.000)	Data 0.003 (0.052)	Loss 6.1109 (6.6245)	
Epoch: [1][114/404]	Bacth_Time 19.364 (19.010)	Data 0.003 (0.051)	Loss 6.5470 (6.6221)	
Epoch: [1][116/404]	Bacth_Time 19.614 (19.025)	Data 0.004 (0.050)	Loss 6.3200 (6.6184)	
Epoch: [1][118/404]	Bacth_Time 19.557 (19.037)	Data 0.004 (0.049)	Loss 6.5586 (6.6163)	
Epoch: [1][120/404]	Bacth_Time 21.816 (19.078)	Data 0.004 (0.049)	Loss 6.3443 (6.6125)	
Epoch: [1][122/404]	Bacth_Time 20.296 (19.101)	Data 0.004 (0.048)	Loss 6.2903 (6.6067)	
Epoch: [1][124/404]	Bacth_Time 19.025 (19.097)	Data 0.004 (0.047)	Loss 6.4328 (6.6030)	
Epoch: [1][126/404]	Bacth_Time 22.417 (19.138)	Data 0.004 (0.047)	Loss 6.2124 (6.5977)	
Epoch: [1][128/404]	Bacth_Time 23.514 (19.180)	Data 0.003 (0.046)	Loss 6.4994 (6.5963)	
Epoch: [1][130/404]	Bacth_Time 20.254 (19.195)	Data 0.004 (0.045)	Loss 6.5626 (6.5926)	
Epoch: [1][132/404]	Bacth_Time 19.811 (19.213)	Data 0.004 (0.045)	Loss 6.7348 (6.5945)	
Epoch: [1][134/404]	Bacth_Time 19.850 (19.237)	Data 0.005 (0.044)	Loss 6.4542 (6.5930)	
Epoch: [1][136/404]	Bacth_Time 20.560 (19.256)	Data 0.004 (0.043)	Loss 6.4260 (6.5908)	
Epoch: [1][138/404]	Bacth_Time 19.761 (19.262)	Data 0.004 (0.043)	Loss 6.4379 (6.5869)	
Epoch: [1][140/404]	Bacth_Time 19.560 (19.258)	Data 0.003 (0.042)	Loss 6.0620 (6.5816)	
Epoch: [1][142/404]	Bacth_Time 18.745 (19.257)	Data 0.004 (0.042)	Loss 6.3040 (6.5778)	
Epoch: [1][144/404]	Bacth_Time 19.833 (19.262)	Data 0.004 (0.041)	Loss 6.4861 (6.5745)	
Epoch: [1][146/404]	Bacth_Time 19.022 (19.258)	Data 0.004 (0.041)	Loss 6.2089 (6.5696)	
Epoch: [1][148/404]	Bacth_Time 19.496 (19.269)	Data 0.003 (0.040)	Loss 6.3492 (6.5659)	
Epoch: [1][150/404]	Bacth_Time 20.827 (19.281)	Data 0.003 (0.040)	Loss 6.1755 (6.5620)	
Epoch: [1][152/404]	Bacth_Time 20.469 (19.287)	Data 0.004 (0.039)	Loss 6.1329 (6.5568)	
Epoch: [1][154/404]	Bacth_Time 19.770 (19.294)	Data 0.005 (0.039)	Loss 6.2686 (6.5522)	
Epoch: [1][156/404]	Bacth_Time 20.379 (19.299)	Data 0.004 (0.038)	Loss 5.8120 (6.5455)	
Epoch: [1][158/404]	Bacth_Time 20.952 (19.308)	Data 0.004 (0.038)	Loss 6.3691 (6.5422)	
Epoch: [1][160/404]	Bacth_Time 22.242 (19.348)	Data 0.004 (0.037)	Loss 6.1411 (6.5372)	
Epoch: [1][162/404]	Bacth_Time 19.856 (19.395)	Data 0.006 (0.037)	Loss 6.1404 (6.5344)	
Epoch: [1][164/404]	Bacth_Time 20.995 (19.421)	Data 0.004 (0.037)	Loss 5.9966 (6.5280)	
Epoch: [1][166/404]	Bacth_Time 23.570 (19.463)	Data 0.004 (0.036)	Loss 6.6410 (6.5252)	
Epoch: [1][168/404]	Bacth_Time 22.624 (19.500)	Data 0.004 (0.036)	Loss 6.1291 (6.5214)	
Epoch: [1][170/404]	Bacth_Time 22.141 (19.529)	Data 0.004 (0.036)	Loss 6.2123 (6.5182)	
Epoch: [1][172/404]	Bacth_Time 24.627 (19.575)	Data 0.004 (0.035)	Loss 5.8590 (6.5113)	
Epoch: [1][174/404]	Bacth_Time 25.426 (19.643)	Data 0.004 (0.035)	Loss 6.1686 (6.5069)	
Epoch: [1][176/404]	Bacth_Time 26.068 (19.721)	Data 0.002 (0.034)	Loss 6.4163 (6.5043)	
Epoch: [1][178/404]	Bacth_Time 24.624 (19.781)	Data 0.005 (0.034)	Loss 6.0831 (6.5009)	
Epoch: [1][180/404]	Bacth_Time 24.657 (19.834)	Data 0.004 (0.034)	Loss 6.1249 (6.4971)	
Epoch: [1][182/404]	Bacth_Time 20.623 (19.850)	Data 0.004 (0.033)	Loss 6.1263 (6.4908)	
Epoch: [1][184/404]	Bacth_Time 21.540 (19.864)	Data 0.004 (0.033)	Loss 6.0373 (6.4864)	
Epoch: [1][186/404]	Bacth_Time 23.942 (19.930)	Data 0.006 (0.033)	Loss 5.7786 (6.4796)	
Epoch: [1][188/404]	Bacth_Time 27.555 (19.992)	Data 0.004 (0.033)	Loss 6.2631 (6.4756)	
Epoch: [1][190/404]	Bacth_Time 22.347 (20.010)	Data 0.003 (0.032)	Loss 6.0613 (6.4725)	
Epoch: [1][192/404]	Bacth_Time 20.331 (20.020)	Data 0.004 (0.032)	Loss 6.2833 (6.4711)	
Epoch: [1][194/404]	Bacth_Time 25.574 (20.063)	Data 0.004 (0.032)	Loss 5.7828 (6.4653)	
Epoch: [1][196/404]	Bacth_Time 21.722 (20.085)	Data 0.004 (0.031)	Loss 6.1440 (6.4603)	
Epoch: [1][198/404]	Bacth_Time 23.918 (20.111)	Data 0.002 (0.031)	Loss 5.6134 (6.4537)	
Epoch: [1][200/404]	Bacth_Time 20.515 (20.114)	Data 0.003 (0.031)	Loss 6.3500 (6.4509)	
Epoch: [1][202/404]	Bacth_Time 22.881 (20.131)	Data 0.004 (0.031)	Loss 5.9430 (6.4456)	
Epoch: [1][204/404]	Bacth_Time 22.062 (20.141)	Data 0.003 (0.030)	Loss 6.2712 (6.4423)	
Epoch: [1][206/404]	Bacth_Time 22.144 (20.165)	Data 0.004 (0.030)	Loss 6.0067 (6.4396)	
Epoch: [1][208/404]	Bacth_Time 23.598 (20.188)	Data 0.003 (0.030)	Loss 5.8567 (6.4339)	
Epoch: [1][210/404]	Bacth_Time 23.223 (20.214)	Data 0.003 (0.029)	Loss 6.0558 (6.4295)	
Epoch: [1][212/404]	Bacth_Time 24.071 (20.250)	Data 0.003 (0.029)	Loss 5.8539 (6.4252)	
Epoch: [1][214/404]	Bacth_Time 21.060 (20.274)	Data 0.004 (0.029)	Loss 6.0162 (6.4238)	
Epoch: [1][216/404]	Bacth_Time 21.160 (20.293)	Data 0.004 (0.029)	Loss 5.9896 (6.4187)	
Epoch: [1][218/404]	Bacth_Time 22.954 (20.312)	Data 0.004 (0.029)	Loss 6.0766 (6.4142)	
Epoch: [1][220/404]	Bacth_Time 20.781 (20.314)	Data 0.004 (0.028)	Loss 5.9252 (6.4089)	
Epoch: [1][222/404]	Bacth_Time 20.210 (20.313)	Data 0.003 (0.028)	Loss 5.9245 (6.4056)	
Epoch: [1][224/404]	Bacth_Time 20.523 (20.313)	Data 0.004 (0.028)	Loss 6.0612 (6.4032)	
Epoch: [1][226/404]	Bacth_Time 24.134 (20.338)	Data 0.003 (0.028)	Loss 6.1502 (6.4009)	
